ticker='UCL', name='uCloudlink Group Inc. American Depositary Shares', type=ADRC, active='true', cik='0001775898', composite_figi='BBG00TN8NYF7'
ticker='UXIN', name='Uxin Limited ADS', type=ADRC, active='true', cik='0001729173', composite_figi='BBG00L1HXR44'
ticker='VACC', name='Vaccitech plc American Depositary Shares', type=ADRC, active='true', cik='0001828185', composite_figi='BBG00ZZPCP09'
ticker='VALN', name='Valneva SE American Depositary Shares', type=ADRC, active='true', cik='0001836564', composite_figi='BBG00ZZPBH08'
ticker='VEON', name='VEON Ltd. ADS', type=ADRC, active='true', cik='0001468091', composite_figi='BBG000QCW561'
ticker='VIOT', name='Viomi Technology Co., Ltd American Depositary Shares', type=ADRC, active='true', cik='0001742770', composite_figi='BBG00LVBQNW0'
ticker='VJET', name='VOXELJET AG American Depositary Shares (each representing one Ordinary Share)', type=ADRC, active='true', cik='0001582581', composite_figi='BBG005915XN3'
ticker='VNET', name='VNET Group, Inc. American Depositary Shares', type=ADRC, active='true', cik='0001508475', composite_figi='BBG001M32Y18'
ticker='VOD', name='Vodafone Group PLC', type=ADRC, active='true', cik='0000839923', composite_figi='BBG000C4R6H6'
ticker='VRNA', name='Verona Pharma plc', type=ADRC, active='true', cik='0001657312', composite_figi='BBG00GD4KBL1'
ticker='WAVE', name='Eco Wave Power Global AB (publ) American Depositary Shares', type=ADRC, active='true', cik='0001846715', composite_figi='BBG01184HK06'
ticker='WB', name='Weibo Corporation', type=ADRC, active='true', cik='0001595761', composite_figi='BBG0065XPGX9'
ticker='WIMI', name='WiMi Hologram Cloud Inc. American Depositary Share', type=ADRC, active='true', cik='0001770088', composite_figi='BBG00PLPTZ51'
ticker='WKEY', name='WISeKey International Holding AG American Depositary Shares', type=ADRC, active='true', cik='0001738699', composite_figi='BBG00KXN8ZN7'
ticker='XNET', name='Xunlei Limited', type=ADRC, active='true', cik='0001510593', composite_figi='BBG001QWYTJ7'
ticker='XTLB', name='XTL Biopharmaceuticals Ltd. American Depositary Shares', type=ADRC, active='true', cik='0001023549', composite_figi='BBG000F1JVP4'
ticker='YI', name='111, Inc. American Depositary Shares', type=ADRC, active='true', cik='0001738906', composite_figi='BBG00LQ87SL5'
ticker='YJ', name='Yunji Inc. American Depository Shares', type=ADRC, active='true', cik='0001759614', composite_figi='BBG00NPL7MC6'
ticker='YQ', name='17 Education & Technology Group Inc. American Depositary Shares', type=ADRC, active='true', cik='0001821468', composite_figi='BBG00Y6G4ZC8'
ticker='YY', name='JOYY Inc. American Depositary Shares', type=ADRC, active='true', cik='0001530238', composite_figi='BBG003H0XV18'
ticker='ZLAB', name='Zai Lab Limited American Depositary Shares', type=ADRC, active='true', cik='0001704292', composite_figi='BBG00HFX3N90'
